x,y,radar,true
1.5,94.5,1.01430105913,0.0
1.5,95.5,1.12405399034,0.0
1.5,96.5,1.12405399034,0.0
1.5,97.5,1.12405399034,0.0
1.5,98.5,1.12405399034,0.0
1.5,99.5,1.12405399034,0.0
1.5,100.5,1.09209470153,0.0
1.5,101.5,1.09209470153,0.0
1.5,102.5,1.09209470153,0.0
1.5,103.5,1.09209470153,0.0
1.5,104.5,1.09209470153,0.0
1.5,105.5,1.07668031476,0.0
1.5,106.5,1.07668031476,0.0
1.5,107.5,1.07668031476,0.0
1.5,108.5,1.07668031476,0.0
1.5,109.5,1.07668031476,0.0
1.5,110.5,1.06730971322,0.0
1.5,111.5,1.06730971322,0.0
1.5,112.5,1.06730971322,0.0
1.5,113.5,1.06730971322,0.0
1.5,114.5,1.06730971322,0.0
1.5,115.5,1.04834255718,0.0
1.5,116.5,1.04834255718,0.0
1.5,117.5,1.04834255718,0.0
1.5,118.5,1.04834255718,0.0
1.5,119.5,1.04834255718,0.0
1.5,120.5,1.22293735749,0.0
1.5,121.5,1.22293735749,0.0
1.5,122.5,1.22293735749,0.0
1.5,123.5,1.22293735749,0.0
1.5,124.5,1.22293735749,0.0
1.5,125.5,1.22410204372,0.0
1.5,126.5,1.22410204372,0.0
1.5,127.5,1.22410204372,0.0
1.5,128.5,1.22410204372,0.0
1.5,129.5,1.22410204372,0.0
1.5,130.5,1.20845583336,0.0
1.5,131.5,1.20845583336,0.0
1.5,132.5,1.20845583336,0.0
1.5,133.5,1.20845583336,0.0
1.5,134.5,1.20845583336,0.0
1.5,135.5,1.04637184595,0.0
1.5,136.5,1.04637184595,0.0
1.5,137.5,1.04637184595,0.0
1.5,138.5,1.04637184595,0.0
1.5,139.5,1.04637184595,0.0
1.5,140.5,1.01978270098,0.0
1.5,141.5,1.01978270098,0.0
1.5,142.5,1.01978270098,0.0
1.5,143.5,1.01978270098,0.0
1.5,144.5,1.01978270098,0.0
1.5,145.5,1.09103105182,0.0
1.5,146.5,1.09103105182,0.0
1.5,147.5,1.09103105182,0.0
1.5,148.5,1.09103105182,0.0
1.5,149.5,1.09103105182,0.0
1.5,150.5,1.23627945403,0.0
1.5,151.5,1.23627945403,0.0
1.5,152.5,1.23627945403,0.0
1.5,153.5,1.23627945403,0.0
1.5,154.5,1.23627945403,0.0
1.5,155.5,1.01626858691,0.0
1.5,156.5,1.01626858691,0.0
1.5,157.5,1.01626858691,0.0
1.5,158.5,1.01626858691,0.0
1.5,159.5,1.01626858691,0.0
1.5,160.5,1.52009324665,0.0
1.5,161.5,1.52009324665,0.36865872311
1.5,162.5,1.52009324665,0.625946760933
1.5,163.5,1.52009324665,0.770097977396
1.5,164.5,1.52009324665,0.726696304394
1.5,165.5,1.90489711059,0.306559793153
1.5,166.5,1.90489711059,1.09544889768
1.5,167.5,1.90489711059,0.460265622255
1.5,168.5,1.90489711059,0.478843192773
1.5,169.5,1.90489711059,0.389459361893
1.5,170.5,3.40265964738,0.698031005815
1.5,171.5,3.40265964738,1.27110859896
1.5,172.5,3.40265964738,1.67127730981
1.5,173.5,3.40265964738,5.00748686349
1.5,174.5,3.40265964738,10.0616532294
1.5,175.5,19.1853988089,5.00095625744
1.5,176.5,19.1853988089,27.3370975138
1.5,177.5,19.1853988089,34.7222572942
1.5,178.5,19.1853988089,29.1904624304
1.5,179.5,19.1853988089,22.8227819815
1.5,180.5,21.1168928897,15.1236283491
1.5,181.5,21.1168928897,22.2070010398
1.5,182.5,21.1168928897,40.1019957491
1.5,183.5,21.1168928897,19.9313276559
1.5,184.5,21.1168928897,14.4961512445
1.5,185.5,18.3617795975,20.9034877252
1.5,186.5,18.3617795975,10.4095441228
1.5,187.5,18.3617795975,32.4001375682
1.5,188.5,18.3617795975,9.10959548144
1.5,189.5,18.3617795975,10.9593485218
1.5,190.5,24.0295426561,37.7615928452
1.5,191.5,24.0295426561,49.7298660622
1.5,192.5,24.0295426561,39.5882231002
1.5,193.5,24.0295426561,16.9911673983
1.5,194.5,24.0295426561,32.4792613223
1.5,195.5,15.8080408719,41.8379502548
1.5,196.5,15.8080408719,14.2008158955
1.5,197.5,15.8080408719,22.7342544458
1.5,198.5,15.8080408719,15.5944966719
1.5,199.5,15.8080408719,8.70230668988
2.5,0.5,1.10969721922,0.0
2.5,1.5,1.10969721922,0.0
2.5,2.5,1.10969721922,0.0
2.5,3.5,1.10969721922,0.0
2.5,4.5,1.10969721922,0.0
2.5,5.5,1.2254183208,0.0
2.5,6.5,1.2254183208,0.0
2.5,7.5,1.2254183208,0.0
2.5,8.5,1.2254183208,0.0
